999,ПАО МегаФон,Хабаровский край,2703000 - 2714999
999,ООО Скартел,Мурманская обл.,2700000 - 2702999
999,ПАО МегаФон,Республика Татарстан,2640000 - 2699999
999,ПАО МегаФон,Оренбургская обл.,2625000 - 2639999
999,ПАО МегаФон,Пензенская обл.,2615000 - 2624999
999,ООО Скартел,Вологодская обл.,2600000 - 2614999
999,ПАО МегаФон,Республика Калмыкия,2595000 - 2599999
999,ПАО МегаФон,Оренбургская обл.,2585000 - 2594999
999,ПАО МегаФон,Ямало-Ненецкий АО,2580000 - 2584999
999,ПАО МегаФон,Ханты - Мансийский - Югра АО,2560000 - 2579999
999,ООО Скартел,Калининградская обл.,2550000 - 2559999
999,ПАО МегаФон,Еврейская автономная обл.,2549000 - 2549999
999,ПАО МегаФон,Амурская обл.,2547000 - 2548999
999,ПАО МегаФон,Иркутская обл.,2530000 - 2546999
999,ПАО МегаФон,Камчатский край,2525000 - 2529999
999,ПАО МегаФон,Еврейская автономная обл.,2520000 - 2524999
999,ПАО МегаФон,Амурская обл.,2515000 - 2519999
999,ПАО МегаФон,Иркутская обл.,2510000 - 2514999
999,ООО Скартел,Архангельская область * Ненецкий автономный округ,2500000 - 2509999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2456000 - 2499999
999,ООО Скартел,Республика Северная Осетия - Алания,2452000 - 2455999
999,ООО Скартел,Республика Саха /Якутия/,2446000 - 2451999
999,ООО Скартел,Псковская обл.,2443000 - 2445999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2428000 - 2442999
999,ООО Скартел,Республика Дагестан,2417000 - 2427999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2402000 - 2416999
999,ООО Т2 Мобайл,Ивановская обл.,2400000 - 2401999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2344000 - 2399999
999,ООО Скартел,Ярославская обл.,2330000 - 2343999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2313000 - 2329999
999,ПАО МегаФон,Иркутская обл.,2303000 - 2312999
999,ПАО МегаФон,Свердловская обл.,2302000 - 2302999
999,ООО Т2 Мобайл,Костромская обл.,2300000 - 2301999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2292000 - 2299999
999,ООО Скартел,Калужская обл.,2287000 - 2291999
999,ООО Скартел,Удмуртская Республика,2278000 - 2286999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2261000 - 2277999
999,ООО Скартел,Кировская обл.,2251000 - 2260999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2250000 - 2250999
999,ООО Скартел,Смоленская обл.,2244000 - 2249999
999,ООО Скартел,Новгородская обл.,2239000 - 2243999
999,ООО Скартел,Республика Хакасия,2234000 - 2238999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2212000 - 2233999
999,ООО Скартел,Брянская обл.,2203000 - 2211999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2202000 - 2202999
999,ООО Т2 Мобайл,Ярославская обл.,2200000 - 2201999
999,ООО Скартел,г. Санкт-Петербург * Ленинградская область,2000000 - 2199999
999,ООО Скартел,Чувашская Республика,1990000 - 1999999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1953000 - 1989999
999,ООО Скартел,Чувашская Республика,1950000 - 1952999
999,ООО Скартел,Ульяновская обл.,1938000 - 1949999
999,ПАО МегаФон,Вологодская обл.,1930000 - 1937999
999,ПАО МегаФон,г. Санкт-Петербург * Ленинградская область,1920000 - 1929999
999,ПАО МегаФон,Вологодская обл.,1903000 - 1919999
999,ООО Скартел,Ульяновская обл.,1900000 - 1902999
999,ООО Скартел,Удмуртская Республика,1888000 - 1899999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1853000 - 1887999
999,ООО Скартел,Удмуртская Республика,1850000 - 1852999
999,ООО Скартел,Саратовская обл.,1838000 - 1849999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1813000 - 1837999
999,ПАО МегаФон,Ивановская обл.,1803000 - 1812999
999,ООО Скартел,Саратовская обл.,1800000 - 1802999
999,ООО Скартел,Республика Тыва,1792000 - 1799999
999,ООО Скартел,Республика Хакасия,1786000 - 1791999
999,ООО Скартел,Республика Калмыкия,1783000 - 1785999
999,ООО Скартел,Томская обл.,1773000 - 1782999
999,ООО Скартел,Республика Карелия,1770000 - 1772999
999,ООО Скартел,Ханты-Мансийский АО - Югра,1760000 - 1769999
999,ООО Скартел,Еврейская автономная обл.,1750000 - 1759999
999,ООО Скартел,Республика Саха /Якутия/,1730000 - 1749999
999,ООО Скартел,Самарская обл.,1700000 - 1729999
999,ООО Скартел,Республика Татарстан,1690000 - 1699999
999,ООО Скартел,Архангельская область * Ненецкий автономный округ,1680000 - 1689999
999,ООО Скартел,Псковская обл.,1670000 - 1679999
999,ООО Скартел,Амурская обл.,1650000 - 1669999
999,ООО Скартел,Республика Татарстан,1620000 - 1649999
999,ПАО МегаФон,Ярославская обл.,1610000 - 1619999
999,ПАО МегаФон,Тверская обл.,1600000 - 1609999
999,ПАО МегаФон,Смоленская обл.,1590000 - 1599999
999,ООО Скартел,Самарская обл.,1580000 - 1589999
999,ООО Скартел,Республика Татарстан,1550000 - 1579999
999,ООО Скартел,Республика Мордовия,1548000 - 1549999
999,ПАО МегаФон,Мурманская обл.,1533000 - 1547999
999,ПАО МегаФон,Республика Карелия,1518000 - 1532999
999,ПАО МегаФон,Тверская обл.,1503000 - 1517999
999,ООО Скартел,Республика Мордовия,1500000 - 1502999
999,ПАО МегаФон,Калининградская обл.,1480000 - 1499999
999,ПАО МегаФон,Архангельская область и Ненецкий автономный округ,1460000 - 1479999
999,ООО Скартел,Республика Марий Эл,1450000 - 1459999
999,ООО Скартел,Чеченская Республика,1420000 - 1449999
999,ООО Скартел,Нижегородская обл.,1360000 - 1419999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1350000 - 1359999
999,ООО Скартел,Республика Башкортостан,1300000 - 1349999
999,ООО Скартел,Чеченская Республика,1270000 - 1299999
999,ООО Скартел,Пермский край,1250000 - 1269999
999,ООО Скартел,Республика Тыва,1240000 - 1249999
999,ООО Скартел,Пермский край,1230000 - 1239999
999,ПАО МегаФон,г. Санкт-Петербург и Ленинградская область,1220000 - 1229999
999,ООО Скартел,Нижегородская обл.,1200000 - 1219999
